userId,title,rating,predicted
432,Robin Hood (2010),4.5,3.4360252555670963
288,In the Line of Fire (1993),3.0,3.2459345203320416
599,Point Break (1991),3.0,2.563356102179921
42,Who Framed Roger Rabbit? (1988),4.0,3.836362786919988
75,"Hunt for Red October, The (1990)",4.0,3.715825793163436
51,Lord of Illusions (1995),4.0,2.940183247983235
354,300 (2007),3.5,3.770384392022277
416,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.5,3.788808233367507
438,Charlie's Angels: Full Throttle (2003),0.5,2.321126514753063
73,Anchorman: The Legend of Ron Burgundy (2004),3.5,4.014112574538707
567,12 Angry Men (1957),4.5,2.9845810871133835
391,"Grifters, The (1990)",4.0,3.867840425781037
380,X-Men: Days of Future Past (2014),5.0,4.0064629058108086
305,Michael Clayton (2007),5.0,4.251071690224876
409,"Naked Gun: From the Files of Police Squad!, The (1988)",4.0,3.924769072096215
307,Bad Santa (2003),3.5,2.8748384748838975
274,Riki-Oh: The Story of Ricky (Lik Wong) (1991),4.5,3.235884101040119
125,Gothika (2003),3.0,3.8564474846906105
561,Young Frankenstein (1974),3.5,3.912349771682896
68,21 Grams (2003),2.5,3.1308635439660946
525,Ratatouille (2007),3.5,3.897379130794856
414,"Ilsa, She Wolf of the SS (1974)",2.0,3.391957005189029
6,Ghost (1990),5.0,3.9827807419697514
601,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",4.0,4.418315548074873
325,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.0,4.186691612231081
82,"Mothman Prophecies, The (2002)",3.0,3.76213177217902
16,Under Siege 2: Dark Territory (1995),2.0,2.4361115820074852
542,Zoolander (2001),1.5,3.3352151873386084
32,Clueless (1995),3.0,3.220751859766993
140,Limbo (1999),4.0,3.2712865833736635
182,Powaqqatsi (1988),3.0,3.411703619159941
89,Casper Meets Wendy (1998),4.5,3.472972972972973
359,Blade Runner (1982),1.5,3.2630179103590717
183,"Last of the Mohicans, The (1992)",4.0,4.416872301162531
111,Night at the Museum: Secret of the Tomb (2014),3.5,3.0666383775977972
80,Pet Sematary (1989),4.0,3.5105717624891914
448,Horrible Bosses 2 (2014),2.0,3.1559626706172796
514,"Shining, The (1980)",4.0,3.838466436496294
68,Top Gun (1986),3.5,3.1242013954255055
325,"White Balloon, The (Badkonake sefid) (1995)",4.0,3.8870453413054307
509,George of the Jungle (1997),3.5,2.987923924693734
131,Dangerous Minds (1995),3.0,2.922358350711951
45,"Bug's Life, A (1998)",5.0,4.090658872563308
156,Carnal Knowledge (1971),3.0,3.9168040209704014
440,Brazil (1985),4.5,4.642280683531152
312,"Mothman Prophecies, The (2002)",3.0,3.268939705933496
57,Steamboat Willie (1928),4.0,2.296256787790892
603,Dangerous Liaisons (1988),4.0,3.9706877108407728
337,Trainspotting (1996),4.0,4.530662765150362
116,Forrest Gump (1994),4.0,4.039178650987483
122,Quantum of Solace (2008),4.5,4.400473088213607
201,"Net, The (1995)",3.0,3.3283757918958905
167,"Shawshank Redemption, The (1994)",5.0,4.375967647246904
139,Wanted (2008),1.5,1.74675378500898
68,Primal Fear (1996),3.5,3.3457746793474965
16,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0,4.335386268530322
448,Shadow Dancer (2012),3.0,2.8473712446351933
450,Willy Wonka & the Chocolate Factory (1971),4.0,4.303623336555346
178,True Lies (1994),4.0,3.7892997346736346
599,Taken (2008),2.5,2.760875714608958
581,Memento (2000),4.5,4.6585183229715685
215,"Nightmare on Elm Street, A (1984)",0.5,3.129329576415433
610,Heartbreakers (2001),3.0,2.893960462587704
81,Natural Born Killers (1994),3.0,2.3457452329089272
414,Needful Things (1993),2.0,2.4713704936911123
340,"Net, The (1995)",3.0,3.4500746438963823
323,Chef (2014),2.5,2.4053534457261168
232,Home Alone (1990),3.0,2.7842339526688162
186,Big Trouble in Little China (1986),3.0,4.608366324459689
28,Miller's Crossing (1990),3.5,3.537716904189213
195,Untamed Heart (1993),4.0,2.9343789410321754
414,Hanna (2011),4.0,3.5699119923082288
596,Guardians (2016),2.5,3.495133819951338
561,Raising Arizona (1987),4.0,3.8819863937178547
602,Fearless (1993),3.0,3.653182304635829
202,"Ipcress File, The (1965)",4.0,3.8188585607940446
195,Tombstone (1993),4.0,3.91516708865139
200,Brick (2005),5.0,4.540184796338791
387,"Sweetest Thing, The (2002)",1.5,2.1310115083766457
514,Gravity (2013),3.0,3.712770157721742
510,"Blair Witch Project, The (1999)",1.0,1.9056414277956693
290,Home Fries (1998),3.0,3.261410642835383
