y_true,y_pred
365000.0,461209.94695867127
865000.0,752443.5100695018
1038000.0,1238489.8020578409
1490000.0,1662423.8233202603
711000.0,734889.5957702996
211000.0,282558.154754692
790000.0,831928.4217891648
680000.0,500369.98087269714
384500.0,384363.8588558656
605000.0,479418.3184745539
638000.0,615733.8614868959
385000.0,559978.879900424
175000.0,305036.1598514528
365000.0,345572.0830745542
160000.0,288621.3651535871
1070000.0,1187917.8359241586
800000.0,340712.5087310854
795127.0,1116276.1165642976
355000.0,375966.68048445357
474000.0,582651.7684630947
485000.0,407605.00221877213
930000.0,1338086.4917165556
920000.0,727610.1832071973
560000.0,878911.9625547333
654000.0,443955.4267615642
549000.0,541045.747748362
290000.0,101110.03410634835
275000.0,113530.59736309561
329990.0,342691.34702680336
750000.0,575845.9329927631
425000.0,343058.33261013776
515000.0,608541.3722041294
605000.0,572581.4361560064
250000.0,486210.8887075706
330000.0,512855.1726247537
984000.0,793267.6780017609
827500.0,916483.0143813232
485000.0,526791.1648720695
306000.0,427513.1869644428
1890000.0,1174238.0432612482
514000.0,610464.8325762781
282613.0,295312.06711022544
309000.0,372076.4139495201
400000.0,211519.50271273812
310000.0,40293.77640663722
253200.0,121426.80836792995
334009.0,427047.4717998857
500000.0,297572.9192823566
441500.0,467004.1324949897
685000.0,943377.5465486262
327000.0,286830.6891086396
450000.0,298403.27080681035
356000.0,608925.2348054952
525000.0,325014.36854094523
675000.0,362501.62899178674
875000.0,1265192.0475213616
345000.0,333267.6745038455
695000.0,787546.9396853964
350000.0,563837.1564828055
695000.0,709202.060274245
400000.0,480765.12715688435
330000.0,311135.2018999873
265000.0,110645.46821838204
630000.0,665723.4336026749
312000.0,509533.19522080163
156000.0,103662.76330787764
300000.0,398131.9099601105
1225000.0,1479384.014146261
465000.0,459284.9148288053
923990.0,922136.3321375318
320000.0,444905.07767878653
375000.0,450374.6535630422
985000.0,729684.9401800368
850000.0,673517.9505482215
474900.0,653384.1541927168
997000.0,1055588.0570744171
1302000.0,1023298.4836309779
209900.0,2849.425051887869
602000.0,447571.8599204094
1228000.0,1633726.0082671694
856000.0,598448.3730445808
392000.0,518475.84627429664
500000.0,699668.4482273331
230000.0,223995.9580314202
1145000.0,890835.8510754304
560000.0,684863.8291685
355000.0,639081.7478423335
785000.0,698217.3912599221
447500.0,277787.8781264166
540000.0,540663.9867713635
252000.0,262450.39205259114
455000.0,364454.16532044194
619850.0,640121.2221108665
1250000.0,851545.150209473
495000.0,406205.3687231465
540000.0,474360.0216487328
286651.0,273370.8637751625
261000.0,282954.0260511362
830000.0,817636.7548175371
450000.0,599817.695981951
260000.0,52292.79986817273
1450000.0,942029.6915401227
480000.0,848843.7207402214
270000.0,410908.5881063654
1160000.0,1171849.0110752773
250000.0,296973.01892375073
650000.0,462466.41819469933
589950.0,653795.7069747271
743700.0,851764.8679426741
1925000.0,1666593.71375329
316000.0,320937.42239099764
235867.0,159621.92940074502
716000.0,590025.04118114
683000.0,770441.756972345
345000.0,530095.4556588996
270000.0,353096.464271539
239000.0,152578.4004861546
385195.0,14646.889701356762
273000.0,341725.8709177658
476900.0,364481.47233183146
551000.0,490160.33762520866
448000.0,333939.2367739222
411100.0,351254.0707600375
223000.0,118927.48962888552
335500.0,508932.93555560784
730000.0,979784.9906642151
197200.0,153727.0898426363
725000.0,718637.9081954245
342500.0,235530.7113289928
340000.0,462377.61737393495
418000.0,564160.4027381344
410000.0,455844.38605643786
240000.0,368898.89178489754
800000.0,747482.5746913177
275000.0,254019.7314678395
617950.0,661550.1095624211
396000.0,524410.6336957349
309000.0,230796.26452526916
1275000.0,1127126.948798561
572500.0,701905.1450505252
518500.0,595902.4624557073
710000.0,881233.1548027197
600000.0,865199.0935994464
467000.0,586067.5780636751
309000.0,149212.63877989852
362500.0,336073.19466789695
390000.0,529211.6075640845
208417.0,90998.58728523977
340000.0,426894.6031288962
467500.0,598646.6907386824
829000.0,810112.7265939073
959750.0,962656.5625559316
542000.0,639750.2622149201
2250000.0,1021388.3041805928
575000.0,953890.1302085515
690000.0,831718.0169219377
699950.0,663540.8069273644
408500.0,537213.3515930743
595000.0,796779.8701984598
313000.0,513046.2752000782
781000.0,771842.7730590355
371000.0,454292.98628029635
268000.0,232366.81490639463
331000.0,233231.78436499834
321000.0,333595.5250009152
375000.0,428561.91995471856
298000.0,160869.4114638312
209500.0,207779.3059644358
440000.0,538454.2170251785
350000.0,434006.76891718444
618000.0,673636.746274559
320000.0,488916.74079796264
234950.0,374343.67003583163
665000.0,694542.9640668172
500000.0,456698.4558842571
575000.0,376504.24186509836
320000.0,167123.12152982719
464000.0,847158.1831539344
280000.0,166461.18838732695
350000.0,190286.54313335975
249000.0,372289.5378575686
531000.0,474591.3468035932
472800.0,563333.5477422758
710000.0,615091.622507007
580000.0,845170.6288251784
330000.0,529175.5707880978
174950.0,53360.83055670909
565000.0,635723.5519098946
534000.0,397704.1489479741
503500.0,375096.7627584572
235000.0,198369.50905735506
558000.0,722668.8575781726
966000.0,1027367.7766687055
1297000.0,990595.5825496992
310000.0,152988.71854941855
535000.0,547025.6240983232
432000.0,452587.5600434084
1750000.0,1509478.2717861487
675000.0,603231.06143832
337000.0,450333.5508596189
410000.0,326936.7662014239
320000.0,348962.68547207117
585000.0,602660.6989693987
835000.0,1124015.8172111968
863000.0,1067032.033492308
320000.0,248463.4848390367
613000.0,568000.8923435789
180000.0,182102.84644130262
560000.0,637411.1924886677
530000.0,958048.7260227952
347000.0,294458.177484191
260000.0,367887.2601399872
585000.0,647581.6100785623
440000.0,354509.16131056746
305000.0,314656.03570911323
650500.0,688418.3043677801
590000.0,624145.6566140775
245000.0,154543.54338178365
329999.0,457777.9876438481
470000.0,448437.38282183924
2885000.0,1487339.0601089462
580000.0,526844.3030396197
745000.0,482599.83338802337
350000.0,366474.17600270035
515000.0,553078.5584945399
756100.0,662921.9751687128
472500.0,352788.5888862384
900000.0,802819.3511861473
895000.0,862159.6400386571
255000.0,513081.28622448136
380000.0,319906.4483388819
265000.0,418936.03729966073
728000.0,676396.2855857573
194000.0,86887.16875136521
300000.0,436938.0849460027
216650.0,315578.700782579
223990.0,126023.16515752464
220000.0,237097.6415923767
3600000.0,2216226.9345501764
310000.0,345657.6558788079
360000.0,308173.6135688399
635000.0,429388.9757403036
599950.0,622646.8896662412
220000.0,410183.6775675017
372000.0,398029.5759474079
332900.0,383619.2511485367
380000.0,541196.3724875016
471000.0,502700.07104897074
1185000.0,753264.6295341747
684000.0,747975.5691454528
750000.0,660923.1583510916
612125.0,496723.62009042205
455500.0,600406.5199047957
330000.0,420557.9344378084
654000.0,489463.18649272353
323000.0,419868.3839494393
315000.0,389386.7392358263
392000.0,359905.739923401
782000.0,932874.4293134554
298500.0,187662.05998127133
3650000.0,2426735.1494193324
374000.0,508702.6218484243
850000.0,795084.6387812338
785000.0,1041887.7049166242
615000.0,620559.9513878577
599832.0,707740.6109139797
1075000.0,989141.9464208577
226000.0,288716.53327900765
421500.0,617879.1375830517
406550.0,482582.25287421606
360000.0,480109.76154813473
520000.0,299142.07672134147
329950.0,362307.2642253028
550000.0,549917.2862588444
425000.0,569640.7286695256
1610000.0,1583512.8854290377
185000.0,238905.85903038108
345000.0,342259.5227706218
585000.0,460500.32502688974
325000.0,332696.3327256398
220000.0,286451.3293629715
716100.0,632745.2304247583
313999.0,177070.95643528947
450000.0,405128.3382710181
380000.0,607992.6950865914
572000.0,471462.78238457395
343888.0,297168.0039846834
474950.0,482857.08040830976
410000.0,485889.10522403615
295000.0,248564.3771845603
635000.0,616143.5448387568
275000.0,618378.0322577409
185000.0,132734.59341276536
239000.0,277494.26783159154
840000.0,750600.9695187327
644000.0,917810.8505986363
515000.0,478672.58848732023
276200.0,301154.40287327755
400000.0,556778.5635930385
769900.0,634993.3432631658
585000.0,498953.79785063775
570000.0,571402.3796456585
490000.0,331497.56399240677
587100.0,640389.7334958672
329900.0,325818.5904946844
725000.0,831101.3895494966
445000.0,450015.5835896953
380000.0,541608.8659271952
255000.0,178674.2815713018
355000.0,397709.81446558295
285000.0,264578.9985189309
1050000.0,302082.4700578082
749400.0,1019049.1423612075
1490000.0,1228631.6833624998
950000.0,971944.2036226996
264500.0,266435.3783862438
1385000.0,1068727.927168515
199950.0,256096.4937104421
969950.0,881193.959384195
405000.0,463029.9378933498
322500.0,328776.89279766794
425000.0,484367.7010429445
275000.0,152858.68121162034
181000.0,155807.57094281254
475000.0,405756.24489236984
376950.0,447215.7554037593
476000.0,755104.1207565184
480000.0,225368.32390357723
229000.0,414664.26459938043
226950.0,103667.23114278598
669888.0,688223.0949061456
555750.0,240513.48668429168
280000.0,452460.76556200255
315000.0,228621.6530591377
499950.0,405084.6746667902
453000.0,403085.71586346265
700000.0,621726.0826630843
347500.0,443999.1946675371
600000.0,1369450.2633770434
286000.0,45155.34396311041
1212500.0,1494735.6965106262
580000.0,567332.833638789
630000.0,565347.8795853165
730000.0,675616.8770937251
1300000.0,831652.6502799415
850000.0,886307.8695442177
410000.0,348032.4909457382
325000.0,413327.8702593455
596500.0,513298.1367892764
1020000.0,901489.9423305398
180250.0,114933.61699193
528000.0,420906.07138643163
405500.0,369478.53372254886
1850000.0,788634.1900095695
230000.0,145475.60081247194
789000.0,1125401.691102077
527950.0,578151.8296565594
688000.0,1046291.7355409181
1057000.0,700152.4719324019
999999.0,642984.5463211689
355000.0,399040.85056791577
1197350.0,901896.2484354132
254600.0,226792.76884857222
630000.0,585396.3214821066
670000.0,770411.0388580272
319950.0,302925.5496322437
550000.0,728661.4419922048
250000.0,335969.25113085716
1135000.0,1454060.6028774441
324950.0,389355.23302300053
477000.0,486164.0259642211
531500.0,708177.8460328633
610000.0,915483.1399533012
443000.0,487232.99487441935
385000.0,565352.9300067414
320000.0,415400.08453513286
237000.0,217495.4540170945
865000.0,606002.098970513
239900.0,238366.08423692518
555000.0,332840.56017931044
435000.0,575108.1013975269
582000.0,638160.8676089892
450000.0,667416.5501052672
502000.0,478665.6247521394
430000.0,342002.2254693874
277000.0,295799.31204521726
467000.0,354321.3924187497
530000.0,519857.12915617775
490000.0,478037.226340877
499950.0,429605.17225724313
515000.0,550329.5850215479
280000.0,527425.9310546389
618000.0,540681.1520570759
405000.0,305566.18361325463
551000.0,800583.9135930748
241450.0,376139.2432405157
265000.0,248751.3966091845
1650000.0,1303379.1766147523
720000.0,745212.7767036624
450500.0,444988.3183306222
325000.0,376419.34908261464
475000.0,411565.1079708829
713000.0,783515.043920214
320000.0,247132.33255197114
365000.0,438161.92843874777
380000.0,360547.5773095697
569950.0,577664.0304778473
630000.0,522697.72113485343
349950.0,425020.6486204219
344000.0,392303.7268844921
473000.0,356386.6146528812
365000.0,437939.95959829143
510000.0,587425.4406782166
530000.0,527572.6963790754
107000.0,110231.86100875115
331000.0,498154.78858529724
629800.0,522818.0661745393
579000.0,466674.3226797166
970000.0,1087847.6145154913
460500.0,483989.83997610153
370000.0,522402.1919645661
567035.0,673820.3301170206
220000.0,126732.82992337126
795000.0,902167.2858608665
400000.0,352577.1393769904
470950.0,705604.2536261731
220000.0,440101.3175723858
691500.0,683619.9700835431
526000.0,673184.8586500678
300000.0,210611.9376867193
605000.0,817011.6271206045
700000.0,574430.5070515977
1000000.0,693474.1831573258
377500.0,569860.1454722155
674000.0,513864.3340903485
599000.0,984299.3852952805
680000.0,710737.4968264576
580000.0,455054.40303816216
390000.0,346864.65007137915
262500.0,207400.52340407734
765000.0,815829.6196219434
296000.0,470468.9636343057
515000.0,494432.11359091965
267950.0,178278.6646449705
291700.0,453376.8863582857
338000.0,372157.8667202107
359950.0,511016.98966336803
3168750.0,1511594.2090516072
360000.0,518646.36023762205
675000.0,1044915.367636716
530000.0,542897.3210684102
219950.0,602.2400692912051
598500.0,493685.5031130839
470000.0,521029.8992703282
290000.0,481627.54548990633
861000.0,812571.6221844896
369000.0,376698.56558261585
925000.0,881371.0873484174
295000.0,361482.45004997816
385000.0,185032.925746186
390000.0,471465.33399746055
629000.0,655647.3636854505
1315000.0,990239.7255336224
462500.0,551422.1730731819
1530000.0,1128084.3142692905
535000.0,518679.8967990256
448000.0,563133.3811894117
525000.0,558390.8260849025
1061600.0,810306.9765030815
333000.0,302500.5690599184
639900.0,660384.5050563349
410000.0,328215.1655182612
397500.0,465632.6825507891
955000.0,1044802.8248969028
455000.0,397992.0208580068
409500.0,512106.81320978905
265000.0,369242.5148164007
438600.0,469118.92020276445
310000.0,438148.9927664083
300000.0,482973.5997937396
175000.0,189389.47017203807
205500.0,158259.25502177863
375000.0,474176.1971533171
355000.0,534041.9987685615
250000.0,434272.4756715894
455000.0,660718.2617458784
819000.0,539090.9155221585
199500.0,232342.9064266336
862000.0,706506.1726630726
400000.0,506715.10772646853
700000.0,918923.0817176434
672000.0,387511.70331113896
575000.0,469734.5388215466
615000.0,736987.1115981939
2150000.0,2080252.1470966386
