Actual_Price,Pred_RF,Pred_XGB,Diff_RF,Diff_XGB
0.477,0.5094999999999998,0.5944522,0.03249999999999986,0.1174522023200989
0.458,0.7416100000000001,0.7841187,0.2836100000000001,0.32611871194839476
5.00001,4.923257099999992,5.1981163,0.07675290000000778,0.19810630249023475
2.186,2.5296099999999995,2.439808,0.3436099999999995,0.2538078918457032
2.78,2.273690000000001,2.4274323,0.5063099999999987,0.3525677013397215
1.587,1.6469200000000004,1.504514,0.05992000000000042,0.08248602104187008
1.982,2.376049999999999,2.376104,0.3940499999999989,0.39410411643981935
1.575,1.6693199999999992,1.6004922,0.0943199999999993,0.02549223899841313
3.4,2.7729706,3.0487642,0.6270294000000001,0.35123577117919913
4.466,4.91345889999999,4.8738456,0.4474588999999902,0.40784557723999004
1.232,1.13831,1.05156,0.09369000000000005,0.18043995571136473
2.539,1.9983500999999992,2.1859152,0.5406499000000009,0.35308476829528823
2.151,1.71119,1.6934274,0.4398099999999998,0.4575725564956663
2.205,1.8051499999999998,1.8971766,0.39985000000000026,0.3078233766555787
2.198,2.4190999999999985,2.2765203,0.22109999999999852,0.07852025222778325
1.362,1.5889300000000004,1.6642317,0.2269300000000003,0.30223165798187246
1.784,1.9765100000000002,1.9612839,0.19251000000000018,0.17728392219543454
1.875,1.7754699999999997,1.6936073,0.09953000000000034,0.18139266967773438
1.398,1.498640000000001,1.24521,0.10064000000000117,0.15278994846343985
1.375,0.8942900000000003,1.00051,0.48070999999999975,0.37449002265930176
4.25,3.9642814999999985,4.1064587,0.28571850000000154,0.1435413360595703
4.056,3.7022821999999973,4.36628,0.35371780000000275,0.3102800788879394
1.388,1.4720200000000003,1.0434783,0.08402000000000043,0.34452174949645986
5.00001,4.106062699999997,4.3282485,0.8939473000000024,0.671761499176025
1.621,1.7946800000000007,1.7233596,0.17368000000000072,0.10235958480834961
0.514,0.5245000000000001,0.41258022,0.010500000000000065,0.10141977810859681
1.513,1.7356400000000005,2.1378973,0.22264000000000062,0.6248972530364991
0.948,1.0693099999999998,1.2840492,0.1213099999999998,0.33604915332794194
2.041,1.6511900000000006,1.566525,0.3898099999999993,0.47447501754760735
3.615,3.8205207999999975,3.771086,0.20552079999999728,0.15608597755432108
0.851,1.0155499999999997,1.2474746,0.16454999999999975,0.3964745512008667
1.384,1.35303,1.1472015,0.030969999999999942,0.2367984619140624
1.375,2.1177109000000005,2.149862,0.7427109000000005,0.7748620510101318
4.65,4.1415419999999985,3.8849523,0.5084580000000019,0.7650476932525638
2.718,2.7626200000000023,2.7329755,0.044620000000002324,0.014975482940673857
2.394,2.5924701,2.547571,0.19847009999999976,0.15357094383239733
3.409,3.2025408000000017,3.3155828,0.20645919999999807,0.0934172477722166
1.504,1.6072099999999991,1.4992715,0.10320999999999914,0.004728487968444828
